1,3.6,1
2,2.83,1
3,3.78,1
4,4.83,0
5,2.72,1
6,2.72,1
7,4.9,0
8,3.92,1
9,2.44,1
10,3.65,1
11,2.44,1
12,2.44,1
13,3.29,1
14,0.7,1
15,0.93,1
16,2.33,1
17,1.78,1
18,3.38,1
19,1.91,1
20,1.31,1
21,4.76,0
22,2.73,1
23,3.08,1
24,1.29,1
25,21.85,0
26,3.15,1
27,2.38,1
28,2.28,1
29,4.14,0
30,3.35,1
31,2.24,1
32,1.77,1
33,2.81,1
34,19.9,0
35,3.99,1
36,1.53,1
37,3.25,1
38,0.65,1
39,1.41,1
40,3.24,1
41,3.89,1
42,3.21,1
43,2.86,1
44,2.64,1
45,1.23,1
46,2.14,1
47,2.45,1
48,4.27,0
49,3.41,1
50,0.88,1
51,3.39,1
52,2.54,1
53,2.19,1
54,10.11,0
55,3.73,1
56,3.7,1
57,4.07,0
58,4.07,0
59,3.91,1
60,2.75,1
61,12.32,0
62,2.25,1
63,3.4,1
64,4.17,0
65,2.42,1
66,2.78,1
67,1.67,1
68,1.56,1
69,3.98,1
70,4.63,0
71,2.91,1
72,12.39,0
73,4.2,0
74,4.17,0
75,3.95,1
76,4.79,0
77,19.88,0
78,3.41,1
79,0,1
80,3.99,1
81,3.1,1
82,2.64,1
83,3.11,1
84,0.61,1
85,2.74,1
86,3.43,1
87,18.21,0
88,2.05,1
89,3.89,1
90,2.75,1
91,2.49,1
92,3.6,1
93,4.39,0
94,3.31,1
95,3.38,1
96,4.65,0
97,27.92,0
98,3.21,1
99,16.36,0
100,2.69,1
101,2.56,1
102,4.53,0
103,2.65,1
104,0,1
105,3.41,1
106,2.53,1
107,2.65,1
108,3.54,1
109,2.8,1
110,16.46,0
111,5.26,0
112,3.21,1
113,3.31,1
114,2.91,1
115,29.25,0
116,2.98,1
117,0.99,1
118,1.71,1
119,1.81,1
120,3.12,1
121,2.48,1
122,2.21,1
123,3.0,1
124,3.57,1
125,2.69,1
126,2.31,1
127,2.49,1
128,19.79,0
129,4.37,0
130,3.9,1
131,3.95,1
132,1.91,1
133,4.68,0
134,22.67,0
135,1.32,1
136,1.94,1
137,3.09,1
138,2.41,1
139,4.11,0
140,5.05,0
141,4.05,0
142,3.01,1
143,2.56,1
144,3.78,1
145,1.53,1
146,3.64,1
147,1.9,1
148,3.74,1
149,2.81,1
150,2.53,1
151,12.27,0
152,1.94,1
153,3.98,1
154,1.52,1
155,3.27,1
156,4.57,0
157,1.07,1
158,3.22,1
159,3.31,1
160,3.94,1
161,1.52,1
162,1.42,1
163,3.63,1
164,27.74,0
